i;j;distrout
Nabeul;Alia;121
Nefta;Alia;507
Monastir;Alia;225
Mornaguia;Alia;59
Om Laraies;Alia;440
Ouedhref;Alia;444
Metouia;Metlaoui;175
Moknine;Metlaoui;331
Mateur;Metlaoui;415
Mareth;Metlaoui;229
Menzel Temime;Metlaoui;404
Menzel Bourguiba;Metlaoui;448
Menzel Hayet;Metlaoui;324
Medenine;Metlaoui;263
Mediaz El Bab;Metlaoui;365
Meknassy;Metlaoui;122
M'Dhilla;Metlaoui;39
Nabeul;Metlaoui;349
Nefta;Metlaoui;78
Monastir;Metlaoui;319
Mornaguia;Metlaoui;372
Om Laraies;Metlaoui;32
Ouedhref;Metlaoui;170
Moknine;Metouia;253
Mateur;Metouia;463
Mareth;Metouia;53
Menzel Temime;Metouia;401
Menzel Bourguiba;Metouia;465
Menzel Hayet;Metouia;226
Medenine;Metouia;93
Mediaz El Bab;Metouia;342
Meknassy;Metouia;104
M'Dhilla;Metouia;144
Nabeul;Metouia;346
Nefta;Metouia;237
Monastir;Metouia;257
Mornaguia;Metouia;410
Om Laraies;Metouia;206
Ouedhref;Metouia;5
Mateur;Moknine;261
Mareth;Moknine;304
Menzel Temime;Moknine;199
Menzel Bourguiba;Moknine;263
Menzel Hayet;Moknine;34
Medenine;Moknine;339
Mediaz El Bab;Moknine;251
Meknassy;Moknine;229
M'Dhilla;Moknine;325
Nabeul;Moknine;144
Nefta;Moknine;427
Monastir;Moknine;21
Mornaguia;Moknine;208
Om Laraies;Moknine;382
Ouedhref;Moknine;248
Mareth;Mateur;516
Menzel Temime;Mateur;178
Menzel Bourguiba;Mateur;20
Menzel Hayet;Mateur;240
Medenine;Mateur;550
Mediaz El Bab;Mateur;65
Meknassy;Mateur;351
M'Dhilla;Mateur;414
Nabeul;Mateur;137
Nefta;Mateur;510
Monastir;Mateur;241
Mornaguia;Mateur;65
Om Laraies;Mateur;401
Ouedhref;Mateur;459
Menzel Temime;Mareth;454
Menzel Bourguiba;Mareth;518
Menzel Hayet;Mareth;279
Medenine;Mareth;39
Mediaz El Bab;Mareth;395
Meknassy;Mareth;157
M'Dhilla;Mareth;199
Nabeul;Mareth;399
Nefta;Mareth;270
Monastir;Mareth;309
Mornaguia;Mareth;463
Om Laraies;Mareth;261
Ouedhref;Mareth;57
Menzel Bourguiba;Menzel Temime;179
Menzel Hayet;Menzel Temime;174
Medenine;Menzel Temime;484
Mediaz El Bab;Menzel Temime;168
Meknassy;Menzel Temime;374
M'Dhilla;Menzel Temime;408
Nabeul;Menzel Temime;55
Nefta;Menzel Temime;511
Monastir;Menzel Temime;174
Mornaguia;Menzel Temime;125
Om Laraies;Menzel Temime;450
Ouedhref;Menzel Temime;393
Menzel Hayet;Menzel Bourguiba;242
Medenine;Menzel Bourguiba;552
Mediaz El Bab;Menzel Bourguiba;84
Meknassy;Menzel Bourguiba;442
M'Dhilla;Menzel Bourguiba;422
Nabeul;Menzel Bourguiba;139
Nefta;Menzel Bourguiba;529
Monastir;Menzel Bourguiba;242
Mornaguia;Menzel Bourguiba;68
Om Laraies;Menzel Bourguiba;419
Ouedhref;Menzel Bourguiba;461
Medenine;Menzel Hayet;312
Mediaz El Bab;Menzel Hayet;230
Meknassy;Menzel Hayet;203
M'Dhilla;Menzel Hayet;298
Nabeul;Menzel Hayet;123
Nefta;Menzel Hayet;401
Monastir;Menzel Hayet;36
Mornaguia;Menzel Hayet;187
Om Laraies;Menzel Hayet;355
Ouedhref;Menzel Hayet;221
Mediaz El Bab;Medenine;429
Meknassy;Medenine;191
M'Dhilla;Medenine;233
Nabeul;Medenine;433
Nefta;Medenine;308
Monastir;Medenine;343
Mornaguia;Medenine;497
Om Laraies;Medenine;295
Ouedhref;Medenine;97
Meknassy;Mediaz El Bab;301
M'Dhilla;Mediaz El Bab;357
Nabeul;Mediaz El Bab;127
Nefta;Mediaz El Bab;453
Monastir;Mediaz El Bab;231
Mornaguia;Mediaz El Bab;45
Om Laraies;Mediaz El Bab;344
Ouedhref;Mediaz El Bab;337
M'Dhilla;Meknassy;96
Nabeul;Meknassy;275
Nefta;Meknassy;199
Monastir;Meknassy;234
Mornaguia;Meknassy;309
Om Laraies;Meknassy;153
Ouedhref;Meknassy;108
Nabeul;M'Dhilla;324
Nefta;M'Dhilla;116
Monastir;M'Dhilla;293
Mornaguia;M'Dhilla;347
Om Laraies;M'Dhilla;71
Ouedhref;M'Dhilla;140
Nefta;Nabeul;459
Monastir;Nabeul;122
Mornaguia;Nabeul;84
Om Laraies;Nabeul;399
Ouedhref;Nabeul;341
Monastir;Nefta;395
Mornaguia;Nefta;449
Om Laraies;Nefta;109
Ouedhref;Nefta;235
Mornaguia;Monastir;188
Om Laraies;Monastir;335
Ouedhref;Monastir;254
Om Laraies;Mornaguia;388
Ouedhref;Mornaguia;407
Ouedhref;Om Laraies;202
