i;j;distrout
Bou Salem;Jerba Ajim;636
Benane Bodher;Jerba Ajim;362
Ben Guerdane;Jerba Ajim;93
Beja;Jerba Ajim;618
Chebba;Jerba Ajim;325
Dahmani;Jerba Ajim;426
Enfidha;Jerba Ajim;411
El Jem;Jerba Ajim;308
El Fahs;Jerba Ajim;407
Douz;Jerba Ajim;214
Ghar El Melh;Jerba Ajim;559
Ghardimaou;Jerba Ajim;500
Guettar;Jerba Ajim;229
Gromballia;Jerba Ajim;471
Feriana;Jerba Ajim;320
Gafsa;Jerba Ajim;250
Gabes;Jerba Ajim;93
Gaafour;Jerba Ajim;429
Sidi Thabet;Jerba Ajim;531
Siliana;Jerba Ajim;392
Sidi Bou Ali;Jerba Ajim;388
Sidi Bouzid;Jerba Ajim;272
Tabarka;Jerba Ajim;546
Sousse;Jerba Ajim;373
Souk El Ahad;Jerba Ajim;231
Skhira;Jerba Ajim;157
Sers;Jerba Ajim;417
Sbeitla;Jerba Ajim;334
Sfax;Jerba Ajim;258
Tozeur;Jerba Ajim;308
Tunis;Jerba Ajim;505
Tajerouine;Jerba Ajim;438
Takelsa;Jerba Ajim;498
Agareb;Jerba Ajim;246
Testour;Jerba Ajim;472
Tela;Jerba Ajim;398
Tebourba;Jerba Ajim;542
Teboursouk;Jerba Ajim;444
Tataouine;Jerba Ajim;101
Zarzis;Jerba Ajim;43
Zaghouan;Jerba Ajim;463
Zeramdine;Jerba Ajim;346
Zriba;Jerba Ajim;447
Alia;Jerba Ajim;559
Metlaoui;Jerba Ajim;288
Metouia;Jerba Ajim;117
Moknine;Jerba Ajim;364
Mateur;Jerba Ajim;574
Mareth;Jerba Ajim;57
Menzel Temime;Jerba Ajim;512
Menzel Bourguiba;Jerba Ajim;576
Menzel Hayet;Jerba Ajim;337
Medenine;Jerba Ajim;52
Mediaz El Bab;Jerba Ajim;453
Meknassy;Jerba Ajim;215
M'Dhilla;Jerba Ajim;257
Nabeul;Jerba Ajim;457
