"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
228;"GT";"urbain";"homme";61;"marie";"primaire";"employé";4;FALSE;7269
229;"GT";"urbain";"homme";63;"marie";"secondaire";"employé";4;FALSE;3601
230;"GT";"urbain";"homme";56;"marie";"secondaire";"ouvrier";2;FALSE;9346
231;"GT";"urbain";"homme";73;"veuf";"primaire";"retraité";5;FALSE;5257
232;"GT";"urbain";"homme";48;"veuf";"primaire";"chomeur";4;FALSE;3989
233;"GT";"urbain";"femme";71;"veuf";"primaire";"retraité";3;FALSE;7379
234;"GT";"urbain";"homme";57;"marie";"primaire";"employé";6;FALSE;2866
235;"GT";"urbain";"homme";49;"divorce";"secondaire";"ouvrier";4;FALSE;5987
236;"GT";"urbain";"homme";60;"marie";"supérieur";"cadre";6;FALSE;6650
237;"GT";"urbain";"homme";69;"marie";"primaire";"retraité";3;FALSE;7720
238;"GT";"urbain";"homme";64;"marie";"aucun";"retraité";4;FALSE;6583
239;"GT";"urbain";"homme";69;"marie";"primaire";"retraité";3;FALSE;7111
240;"GT";"urbain";"homme";58;"marie";"aucun";"inactif";6;FALSE;4262
241;"GT";"urbain";"homme";58;"marie";"primaire";"employé";5;FALSE;4476
242;"GT";"urbain";"homme";48;"marie";"primaire";"inactif";4;FALSE;5663
243;"GT";"urbain";"homme";44;"marie";"primaire";"ouvrier";4;FALSE;4288
244;"GT";"urbain";"homme";57;"marie";"primaire";"ouvrier";5;FALSE;4076
245;"GT";"urbain";"homme";39;"marie";"secondaire";"ouvrier";3;FALSE;6130
246;"GT";"urbain";"homme";67;"marie";"secondaire";"retraité";2;FALSE;11076
247;"GT";"urbain";"femme";86;"veuf";"aucun";"inactif";2;FALSE;9791
248;"GT";"urbain";"homme";67;"marie";"primaire";"retraité";4;FALSE;7614
249;"GT";"urbain";"homme";55;"marie";"secondaire";"cadre";4;FALSE;6982
250;"GT";"urbain";"homme";58;"marie";"secondaire";"cadre";5;FALSE;10098
251;"GT";"urbain";"homme";63;"marie";"supérieur";"inactif";5;FALSE;4816
252;"GT";"urbain";"homme";56;"marie";"primaire";"employé";5;FALSE;5642
253;"GT";"urbain";"femme";66;"veuf";"secondaire";"retraité";3;FALSE;12782
254;"GT";"urbain";"femme";83;"veuf";"aucun";"inactif";1;FALSE;10385
255;"GT";"urbain";"homme";38;"celibataire";"secondaire";"employé";4;FALSE;4520
256;"GT";"urbain";"femme";73;"veuf";"aucun";"inactif";3;FALSE;3979
257;"GT";"urbain";"homme";53;"marie";"primaire";"ouvrier";4;FALSE;3072
